name,id,author,episode_count
Mommy Doomsday,1540849480,NBC News,7
Crime Junkie,1322200189,audiochuck,180
The Daily,1200361736,The New York Times,1157
Dateline NBC,1464919521,NBC News,334
Morbid: A True Crime Podcast,1379959217,Morbid: A True Crime Podcast,258
The Bible in a Year (with Fr. Mike Schmitz),1539568321,Ascension Catholic Faith Formation,70
The Ben Shapiro Show,1047335260,The Daily Wire,350
Against The Odds,1553335461,Wondery,4
Unraveled: Long Island Serial Killer,1543476170,discovery+,7
SmartLess,1521578868,"Jason Bateman, Sean Hayes, Will Arnett",35
Armchair Expert with Dax Shepard,1345682353,Armchair Umbrella,325
Up First,1222114325,NPR,6
Unsolved Mysteries,1549903604,"Cosgrove Meurer Productions, Inc. + Cadence13",4
My Favorite Murder with Karen Kilgariff and Georgia Hardstark,1074507850,Exactly Right,495
You're Wrong About,1380008439,Michael Hobbes & Sarah Marshall,128
Macrodosing: Arian Foster and PFT Commenter,1551696865,Barstool Sports,3
Stuff You Should Know,278981407,iHeartRadio,1667
The Joe Rogan Experience,360084272,Joe Rogan,1
In Plain Sight: Lady Bird Johnson,1554132477,ABC News,3
This American Life,201671138,This American Life,10
The Office Deep Dive with Brian Baumgartner,1550331348,iHeartRadio,6
The Apology Line,1545233696,Wondery,9
Hidden Brain,1028908750,Hidden Brain,315
The Ramsey Show,77001367,Ramsey Network,120
Pod Save America,1192761536,Crooked Media,450
I AM Athlete Podcast,1537836233,"Brandon Marshall, Chad Johnson, Fred Taylor, Channing Crowder",31
The Dan Bongino Show,965293227,Westwood One Podcast Network / Dan Bongino,1039
The Ezra Klein Show,1548604447,New York Times Opinion,12
Call Her Daddy,1418960261,Barstool Sports,115
Red Collar,1541330058,audiochuck,16
Embedded,1091709555,NPR,75
On Purpose with Jay Shetty,1450994021,Jay Shetty,214
Unlocking Us with Brené Brown,1494350511,Parcast Network,4
LeVar Burton Reads,1244649384,LeVar Burton and Stitcher,113
The Opportunist,1551162705,Kast Media,5
The Bill Simmons Podcast,1043699613,The Ringer & Bill Simmons,783
Sal and Chris Present: Hey Babe!,1542475843,No Presh Network,14
2 Bears 1 Cave with Tom Segura & Bert Kreischer,1468013270,YMH Studios,71
The Dan Le Batard Show with Stugotz,934820588,"Dan Le Batard, Stugotz",135
La Brega,1553089886,WNYC Studios and Futuro Studios,16
Office Ladies,1480311435,Earwolf & Jenna Fischer and Angela Kinsey,73
Fresh Air,214089682,NPR,50
No F*cks Given Podcast,1546104578,Sarah Knight and Cadence13,7
Serial,917918570,This American Life,40
Conan O’Brien Needs A Friend,1438054347,Team Coco & Earwolf,134
Something Was Wrong,1447286743,Tiffany Reese,73
Pardon My Take,1089022756,Barstool Sports,498
Louder with Crowder,929121341,Blaze Podcast Network,270
Planet Money,290783428,NPR,353
Serial Killers,1205030005,Parcast Network,254
The NPR Politics Podcast,1057255460,NPR,976
Monday Morning Podcast,480486345,All Things Comedy,856
The Megyn Kelly Show,1532976305,Devil May Care Media,72
Anatomy of Murder,1532894981,audiochuck,24
Unsolved Murders: True Crime Stories,1122804248,Parcast Network,253
This is Paris,1552058389,iHeartRadio & Paris Hilton,7
The Charlie Kirk Show,1460600818,Charlie Kirk,100
The Michelle Obama Podcast,1532956108,Higher Ground & Spotify,9
Cautionary Tales,1484511465,Pushkin Industries,21
True Crime Obsessed,1232009882,Obsessed Network,218
Consider This from NPR,1503226625,NPR,276
Huberman Lab,1545953110,Dr. Andrew Huberman,10
The Tim Ferriss Show,863897795,"Tim Ferriss: Bestselling Author, Human Guinea Pig",507
VIEWS with David Dobrik & Jason Nash,1236778275,Cadence13,199
Earn Your Leisure,1450211392,The Black Effect and iHeartRadio,161
Wow in the World,1233834541,NPR,327
H3 Podcast,1186098620,Ethan Klein,287
The Moth,275699983,The Moth,144
Casefile True Crime,998568017,Casefile Presents,201
How I Built This with Guy Raz,1150510297,NPR,324
The Daily Show With Trevor Noah: Ears Edition,1334878780,Comedy Central & iHeartRadio,949
The Breakfast Club,1232428553,iHeartRadio,1373
The Thing About Pam,1479234915,NBC News,9
Allen v. Farrow Podcast,1554108046,HBO,2
The Michael Knowles Show,1266577963,The Daily Wire,760
American Scandal,1435516849,Wondery,120
Tim Pool Daily Show,1362265400,Tim Pool,974
I Spy,1482310665,Foreign Policy,24
The Bible Recap,1440833267,D-Group,844
The Rachel Maddow Show,294055449,"Rachel Maddow, MSNBC",13
Sway,1528594034,New York Times Opinion,53
Good Sex,1553344468,Lemonada Media,3
Wait Wait... Don't Tell Me!,121493804,NPR,20
Get Sleepy: Sleep meditation and stories,1487513861,Get Sleepy,138
Nurture vs Nurture with Dr. Wendy Mogel,1549814799,Armchair Umbrella,5
TED Talks Daily,160904630,TED,265
The Jordan B. Peterson Podcast,1184022695,Dr. Jordan B. Peterson,159
UnF*ck Your Brain,1229434818,Kara Loewentheil,226
Ten Percent Happier with Dan Harris,1087147821,ABC News,402
Revisionist History,1119389968,Pushkin Industries,79
Short Wave,1482575855,NPR,349
Supernatural with Ashley Flowers,1500667648,Parcast Network,54
Radiolab,152249110,WNYC Studios,148
Zane and Heath: Unfiltered,1478746415,The Roost x Zane and Heath,70
Even the Rich,1500477470,Wondery,54
Adam Carolla Show,306390087,PodcastOne / Carolla Digital,40
BiggerPockets Real Estate Podcast,594419649,BiggerPockets,454
Lex Fridman Podcast,1434243584,Lex Fridman,170
Revolutions,703889772,Mike Duncan,290
Throughline,1451109634,NPR,114
Higher Learning with Van Lathan and Rachel Lindsay,1515152489,The Ringer,82
Jocko Podcast,1070322219,Jocko DEFCOR Network,311
This Past Weekend,1190981360,Theo Von,220
Super Soul,1264843400,Oprah,317
Duolingo Spanish Podcast,1317493077,Duolingo,88
"The Doctor's Farmacy with Mark Hyman, M.D.",1382804627,Dr. Mark Hyman,317
Freakonomics Radio,354668519,Freakonomics Radio + Stitcher,572
The Candace Owens Show,1454587745,PragerU,72
WorkLife with Adam Grant,1346314086,TED,35
True Crime Garage,1062418176,TRUE CRIME GARAGE,469
Mark Levin Podcast,209377688,Westwood One Podcast Network,901
The Matt Walsh Show,1367210511,The Daily Wire,689
Anything Goes with Emma Chamberlain,1458568923,Emma Chamberlain and Ramble,53
Maintenance Phase,1535408667,Aubrey Gordon & Michael Hobbes,12
The Glenn Beck Program,620967489,Blaze Podcast Network,1799
Dr. Death,1421573955,Wondery,17
Reparations: The Big Payback,1548013961,The Black Effect & iHeartRadio,4
NPR News Now,121493675,NPR,0
Bridgerton: The Official Podcast,1551820452,Shondaland Audio & iHeartRadio,3
Lore,978052928,Aaron Mahnke and Grim & Mild,169
Made For This with Jennie Allen,1466667116,Jennie Allen,143
