podcast_id,description
1540849480,"The disappearance of two of Lori Vallow’s children in Rexburg, Idaho in September 2019 would expose a bizarre trail of death, devotion and Doomsday beliefs that captivated the nation… A haunting podcast from Keith Morrison and Dateline NBC."
1322200189,"If you can never get enough true crime... Congratulations, you’ve found your people."
1200361736,"This is what the news should sound like. The biggest stories of our time, told by the best journalists in the world. Hosted by Michael Barbaro. Twenty minutes a day, five days a week, ready by 6 a.m."
1464919521,"Current and classic episodes, featuring compelling true-crime mysteries, powerful documentaries and in-depth investigations.  "
1047335260,"Tired of the lies? Tired of the spin? Are you ready to hear the hard-hitting truth in comprehensive, conservative, principled fashion? The Ben Shapiro Show brings you all the news you need to know in the most fast moving daily program in America. Ben brutally breaks down the culture and never gives an inch! Monday thru Friday."
1549903604,"Welcome to the official Unsolved Mysteries podcast from the original creators of the iconic television series, presented by Cadence13. Join our host Steve French each week as we present all new mysteries, from terrifying abductions to bizarre paranormal encounters, heinous killers and unexplained deaths. For every mystery, there is someone, somewhere who knows the truth. Perhaps it's you. "
1222114325,"NPR's Up First is the news you need to start your day. The three biggest stories of the day, with reporting and analysis from NPR News — in 10 minutes. Available weekdays by 6 a.m. ET, with hosts Rachel Martin, Noel King and Steve Inskeep. Now available on Saturdays by 8 a.m. ET, with hosts Lulu Garcia-Navarro and Scott Simon. Subscribe and listen, then support your local NPR station at donate.npr.org."
1552069504,"How far would you go for enlightenment? Westerners have long been drawn to the spiritual mystique of India. While many find what they’re looking for and return home, some vanish without a trace or even end up dead. Astray investigates those who pay the ultimate cost in search of spiritual awakening."
1553335461,"
      <p>Humans are resilient. In our toughest moments, we will fight, we will struggle, and we will triumph...often against the odds.&nbsp;</p><p><br></p><p>In this immersive series from Wondery, host-adventurers Mike Corey and Cassie De Pecol will share thrilling stories of survival. From the daring rescue of a soccer team trapped in an underwater cave in Thailand, to a woman taken hostage by Somali pirates, these stories made headlines around the world. AGAINST THE ODDS will make you feel as though you’re living these experiences with our heroes as they push themselves to their limits.</p>
    "
1249486443,"In a time where humanity is desperate to find hope, Carlos leads us in conversations that bring us just that. From fun discussions about everyday joy to polarizing and challenging topics, Carlos shows even the most calloused heart that there is still hope in humanity. For more on Carlos and his books visit CarlosWhittaker.com."
278981407,"If you've ever wanted to know about champagne, satanism, the Stonewall Uprising, chaos theory, LSD, El Nino, true crime and Rosa Parks, then look no further. Josh and Chuck have you covered."
77001367,"Take control of your life and money once and for all. The Ramsey Show offers up straight talk from Dave Ramsey and his team of co-hosts. Millions listen in as callers from all walks of life learn how to get out of debt and start building for the future. Check out one of Apple’s most popular podcasts! For more information, visit www.daveramsey.com."
1553089886,"WNYC Studios and Futuro Studios present “La Brega: Stories of the Puerto Rican Experience”: a seven-part podcast series that uses narrative storytelling and investigative journalism to reflect and reveal how la brega has defined so many aspects of life in Puerto Rico. Available in English and Spanish. 

Creado por un colectivo de periodistas, productores, músicos y artistas boricuas; presentado por Alana Casanova-Burgess.
"
