country,rank,name,id,releaseDate,Primary_Genre,Other_Genre,Artist,FeedURL
us,1,Mommy Doomsday,1540849480,2021-02-09,True Crime,"Society & Culture,",NBC News,https://podcastfeeds.nbcnews.com/mommy-doomsday
us,2,Crime Junkie,1322200189,2020-10-26,True Crime,,audiochuck,https://feeds.megaphone.fm/ADL9840290619
us,3,The Daily,1200361736,2020-10-28,Daily News,"News,",The New York Times,https://feeds.simplecast.com/54nAGcIl
us,4,Dateline NBC,1464919521,2020-10-28,True Crime,"News,",NBC News,https://podcastfeeds.nbcnews.com/dateline-nbc
us,5,The Ben Shapiro Show,1047335260,2020-10-27,News,,The Daily Wire,https://feeds.megaphone.fm/WWO8086402096
us,6,The Bible in a Year (with Fr. Mike Schmitz),1539568321,2020-12-14,Christianity,"Religion & Spirituality,History,",Ascension Catholic Faith Formation,https://feeds.fireside.fm/bibleinayear/rss
us,7,Unsolved Mysteries,1549903604,2021-02-17,True Crime,"Society & Culture,Documentary,","Cosgrove Meurer Productions, Inc. + Cadence13",https://feeds.megaphone.fm/unsolved-mysteries
us,8,Up First,1222114325,2020-10-28,Daily News,"News,",NPR,https://feeds.npr.org/510318/podcast.xml
us,9,Astray,1552069504,2021-03-03,True Crime,"Society & Culture,",iHeartRadio,https://feeds.megaphone.fm/HSW2031154223
us,10,Against The Odds,1553335461,2021-02-23,Society & Culture,"History,",Wondery,https://rss.art19.com/against-the-odds
us,11,Human Hope with Carlos Whittaker,1249486443,2021-03-04,Personal Journals,"Society & Culture,",That Sounds Fun Network,https://anchor.fm/s/3d4a3c0/podcast/rss
us,12,Stuff You Should Know,278981407,2020-10-28,Society & Culture,,iHeartRadio,https://feeds.megaphone.fm/stuffyoushouldknow
us,13,The Dave Ramsey Show,77001367,2020-10-27,Investing,"Business,Education,Self-Improvement,",Ramsey Network,https://daveramsey.libsyn.com/rss
us,14,La Brega,1553089886,2021-02-24,Society & Culture,,WNYC Studios and Futuro Studios,http://feeds.wnyc.org/la-brega
us,15,Office Ladies,1480311435,2020-10-28,Comedy,,Earwolf & Jenna Fischer and Angela Kinsey,https://www.omnycontent.com/d/playlist/aaea4e69-af51-495e-afc9-a9760146922b/75a86d39-9e0e-4e9a-b948-aae301805fe6/514362cf-31b4-4ed2-af40-aae301805ffd/podcast.rss
us,16,The Office Deep Dive with Brian Baumgartner,1550331348,2021-02-09,TV & Film,"Society & Culture,Comedy,",iHeartRadio,https://feeds.megaphone.fm/HSW4507899119
us,17,In Plain Sight: Lady Bird Johnson,1554132477,2021-03-01,History,"Society & Culture,Documentary,",ABC News,https://feeds.megaphone.fm/ESP8551283217
us,18,The Ezra Klein Show,1548604447,2021-01-13,Society & Culture,"News,",New York Times Opinion,https://feeds.simplecast.com/82FI35Px
us,19,Anatomy of Murder,1532894981,2020-10-28,True Crime,,audiochuck,https://feeds.megaphone.fm/ADL2798563682
us,20,The Dan Le Batard Show with Stugotz,934820588,2021-02-16,Sports,,"Dan Le Batard, Stugotz",https://feeds.megaphone.fm/ESP2298543312
us,21,The Dan Bongino Show,965293227,2020-10-28,News Commentary,"News,",Westwood One Podcast Network / Dan Bongino,https://feeds.megaphone.fm/WWO3519750118
us,22,Serial,917918570,2020-08-20,News,"True Crime,",This American Life,https://feeds.simplecast.com/xl36XBC2
us,23,This American Life,201671138,2020-10-25,Personal Journals,"Society & Culture,Arts,",This American Life,http://feed.thisamericanlife.org/talpodcast
us,24,Embedded,1091709555,2021-02-25,News Commentary,"News,Society & Culture,Documentary,",NPR,https://feeds.npr.org/510311/podcast.xml
us,25,Unlocking Us with Brené Brown,1494350511,2020-10-28,Relationships,"Society & Culture,Education,Self-Improvement,",Parcast Network,https://feeds.megaphone.fm/unlocking-us
us,26,Hidden Brain,1028908750,2020-10-26,Social Sciences,"Science,Natural Sciences,",Hidden Brain,https://www.omnycontent.com/d/playlist/aaea4e69-af51-495e-afc9-a9760146922b/d2c4e775-99ce-4c17-b04c-ac380133d68c/2c6993d0-eac8-4252-8c4e-ac380133d69a/podcast.rss
us,27,This is Paris,1552058389,2021-02-22,Society & Culture,,iHeartRadio & Paris Hilton,https://feeds.megaphone.fm/HSW2082099215
us,28,Fresh Air,214089682,2020-10-27,Books,"Arts,TV & Film,",NPR,https://feeds.npr.org/381444908/podcast.xml
us,29,The Opportunist,1551162705,2021-02-16,True Crime,,Kast Media,https://www.omnycontent.com/d/playlist/9b7dacdf-a925-4f95-84dc-ac46003451ff/6ed483d8-0973-449e-a168-acbe00f6edfa/e58246bc-fa9f-488c-ba9e-acbe00f8270e/podcast.rss
us,30,Red Collar,1541330058,2020-12-01,True Crime,,audiochuck,https://feeds.megaphone.fm/ADL4201344942
us,31,Consider This from NPR,1503226625,2020-10-27,Daily News,"News,News Commentary,",NPR,https://feeds.npr.org/510355/podcast.xml
us,32,On Purpose with Jay Shetty,1450994021,2020-11-02,Health & Fitness,"Business,",Jay Shetty and Kast Media,https://www.omnycontent.com/d/playlist/aaea4e69-af51-495e-afc9-a9760146922b/ff4ff6bb-916d-4c78-ad23-ac8d017d4c2d/7c990ede-a998-4804-957e-ac8d017d4c45/podcast.rss
us,33,Supernatural with Ashley Flowers,1500667648,2020-11-04,Society & Culture,"True Crime,",Parcast Network,https://feeds.megaphone.fm/supernatural
us,34,Sal and Chris Present: Hey Babe!,1542475843,2021-01-21,Comedy Interviews,"Comedy,",No Presh Network,https://feed.podbean.com/nopreshnetwork/feed.xml
us,35,Planet Money,290783428,2020-10-23,Business,"News,",NPR,https://feeds.npr.org/510289/podcast.xml
us,36,Serial Killers,1205030005,2020-11-02,True Crime,"History,",Parcast Network,https://feeds.megaphone.fm/END1032105222
us,37,The Rachel Maddow Show,294055449,2020-11-03,Daily News,"News,","Rachel Maddow, MSNBC",https://podcastfeeds.nbcnews.com/msnbc-rachel-maddow
