country,rank,name,id,releaseDate,Primary_Genre,Other_Genre,Artist
us,1,Mommy Doomsday,1540849480,2021-02-09,True Crime,"Society & Culture,",NBC News
us,2,Crime Junkie,1322200189,2020-10-26,True Crime,,audiochuck
us,3,The Daily,1200361736,2020-10-28,Daily News,"News,",The New York Times
us,4,Dateline NBC,1464919521,2020-10-28,True Crime,"News,",NBC News
us,5,The Ben Shapiro Show,1047335260,2020-10-27,News,,The Daily Wire
us,6,The Bible in a Year (with Fr. Mike Schmitz),1539568321,2020-12-14,Christianity,"Religion & Spirituality,History,",Ascension Catholic Faith Formation
us,7,Unsolved Mysteries,1549903604,2021-02-17,True Crime,"Society & Culture,Documentary,","Cosgrove Meurer Productions, Inc. + Cadence13"
us,8,Up First,1222114325,2020-10-28,Daily News,"News,",NPR
us,9,Astray,1552069504,2021-03-03,True Crime,"Society & Culture,",iHeartRadio
us,10,Against The Odds,1553335461,2021-02-23,Society & Culture,"History,",Wondery
us,11,Human Hope with Carlos Whittaker,1249486443,2021-03-04,Personal Journals,"Society & Culture,",That Sounds Fun Network
us,12,Stuff You Should Know,278981407,2020-10-28,Society & Culture,,iHeartRadio
us,13,The Dave Ramsey Show,77001367,2020-10-27,Investing,"Business,Education,Self-Improvement,",Ramsey Network
us,14,La Brega,1553089886,2021-02-24,Society & Culture,,WNYC Studios and Futuro Studios
us,15,Office Ladies,1480311435,2020-10-28,Comedy,,Earwolf & Jenna Fischer and Angela Kinsey
us,16,The Office Deep Dive with Brian Baumgartner,1550331348,2021-02-09,TV & Film,"Society & Culture,Comedy,",iHeartRadio
us,17,In Plain Sight: Lady Bird Johnson,1554132477,2021-03-01,History,"Society & Culture,Documentary,",ABC News
us,18,The Ezra Klein Show,1548604447,2021-01-13,Society & Culture,"News,",New York Times Opinion
us,19,Anatomy of Murder,1532894981,2020-10-28,True Crime,,audiochuck
us,20,The Dan Le Batard Show with Stugotz,934820588,2021-02-16,Sports,,"Dan Le Batard, Stugotz"
us,21,The Dan Bongino Show,965293227,2020-10-28,News Commentary,"News,",Westwood One Podcast Network / Dan Bongino
us,22,Serial,917918570,2020-08-20,News,"True Crime,",This American Life
us,23,This American Life,201671138,2020-10-25,Personal Journals,"Society & Culture,Arts,",This American Life
us,24,Embedded,1091709555,2021-02-25,News Commentary,"News,Society & Culture,Documentary,",NPR
us,25,Unlocking Us with Brené Brown,1494350511,2020-10-28,Relationships,"Society & Culture,Education,Self-Improvement,",Parcast Network
us,26,Hidden Brain,1028908750,2020-10-26,Social Sciences,"Science,Natural Sciences,",Hidden Brain
us,27,This is Paris,1552058389,2021-02-22,Society & Culture,,iHeartRadio & Paris Hilton
us,28,Fresh Air,214089682,2020-10-27,Books,"Arts,TV & Film,",NPR
us,29,The Opportunist,1551162705,2021-02-16,True Crime,,Kast Media
us,30,Red Collar,1541330058,2020-12-01,True Crime,,audiochuck
us,31,Consider This from NPR,1503226625,2020-10-27,Daily News,"News,News Commentary,",NPR
us,32,On Purpose with Jay Shetty,1450994021,2020-11-02,Health & Fitness,"Business,",Jay Shetty and Kast Media
us,33,Supernatural with Ashley Flowers,1500667648,2020-11-04,Society & Culture,"True Crime,",Parcast Network
us,34,Sal and Chris Present: Hey Babe!,1542475843,2021-01-21,Comedy Interviews,"Comedy,",No Presh Network
us,35,Planet Money,290783428,2020-10-23,Business,"News,",NPR
us,36,Serial Killers,1205030005,2020-11-02,True Crime,"History,",Parcast Network
us,37,The Rachel Maddow Show,294055449,2020-11-03,Daily News,"News,","Rachel Maddow, MSNBC"
us,38,Tom Talks,1543456877,2021-03-04,Comedy,"TV & Film,",YMH Studios
us,39,Cautionary Tales,1484511465,2021-02-12,History,"Society & Culture,",Pushkin Industries
us,40,The NPR Politics Podcast,1057255460,2020-10-27,Politics,"News,Daily News,",NPR
us,41,I AM Athlete Podcast,1537836233,2021-02-19,Sports,,"Brandon Marshall, Chad Johnson, Fred Taylor, Channing Crowder"
us,42,Unsolved Murders: True Crime Stories,1122804248,2020-10-27,True Crime,"Society & Culture,",Parcast Network
us,43,Sway,1528594034,2020-10-26,Society & Culture,,New York Times Opinion
us,44,Double Date with Marlo Thomas & Phil Donahue,1547645093,2021-03-03,Relationships,"Society & Culture,",Pushkin Industries
us,45,Louder with Crowder,929121341,2020-10-26,News,,Blaze Podcast Network
us,46,The Daily Show With Trevor Noah: Ears Edition,1334878780,2020-10-28,Comedy,"News,Daily News,",iHeartRadio & Comedy Central
us,47,2 Bears 1 Cave with Tom Segura & Bert Kreischer,1468013270,2020-10-26,Comedy,,YMH Studios
us,48,The Breakfast Club,1232428553,2020-11-03,Comedy,,iHeartRadio
us,49,The Charlie Kirk Show,1460600818,2020-10-28,News,"Society & Culture,",PodcastOne
us,50,The Tim Ferriss Show,863897795,2020-10-28,Entrepreneurship,"Business,Education,","Tim Ferriss: Bestselling Author, Human Guinea Pig"
us,51,Nurture vs Nurture with Dr. Wendy Mogel,1549814799,2021-02-16,Kids & Family,"Society & Culture,",Armchair Umbrella
us,52,Adam Carolla Show,306390087,2020-10-28,Comedy,,PodcastOne / Carolla Digital
us,53,The Thing About Pam,1479234915,2019-09-27,True Crime,"News,",NBC News
us,54,Freakonomics Radio,354668519,2020-10-22,Documentary,"Society & Culture,",Freakonomics Radio + Stitcher
us,55,How I Built This with Guy Raz,1150510297,2020-10-26,Business,,NPR
us,56,True Crime Obsessed,1232009882,2020-11-03,True Crime,"Society & Culture,",Obsessed Network
us,57,The Moth,275699983,2020-11-03,Performing Arts,"Arts,",The Moth
us,58,BiggerPockets Real Estate Podcast,594419649,2020-10-25,Investing,"Business,Education,",BiggerPockets
us,59,The Jordan B. Peterson Podcast,1184022695,2020-11-01,Education,"Science,",Dr. Jordan B. Peterson
us,60,The Way I Heard It with Mike Rowe,1087110764,2020-10-27,Society & Culture,"History,",Mike Rowe
us,61,The Simplified Podcast with Emily Ley,1553793022,2021-03-04,Personal Journals,"Society & Culture,Relationships,",Four Eyes Media
